Compound,Date,Negative,Neutral,Positive,Screen_Name
0.0,Tue Sep 04 18:20:09 +0000 2018,1.0,0.0,0.0,CNN
-0.7184,Tue Sep 04 18:10:04 +0000 2018,0.7,0.3,0.0,CNN
0.6908,Tue Sep 04 18:02:56 +0000 2018,0.759,0.0,0.241,CNN
0.0,Tue Sep 04 17:51:00 +0000 2018,1.0,0.0,0.0,CNN
0.3818,Tue Sep 04 17:41:43 +0000 2018,0.581,0.0,0.419,CNN
0.0,Tue Sep 04 17:30:10 +0000 2018,1.0,0.0,0.0,CNN
-0.2732,Tue Sep 04 19:38:03 +0000 2018,0.837,0.108,0.054,nytimes
0.0,Tue Sep 04 19:28:05 +0000 2018,1.0,0.0,0.0,nytimes
-0.5859,Tue Sep 04 19:18:05 +0000 2018,0.625,0.375,0.0,nytimes
0.3182,Tue Sep 04 19:08:02 +0000 2018,0.897,0.0,0.103,nytimes
-0.5994,Tue Sep 04 18:58:03 +0000 2018,0.849,0.151,0.0,nytimes
0.2023,Tue Sep 04 18:48:02 +0000 2018,0.823,0.0,0.177,nytimes
0.34,Tue Sep 04 18:38:02 +0000 2018,0.906,0.0,0.094,nytimes
0.6908,Tue Sep 04 18:28:06 +0000 2018,0.694,0.057,0.249,nytimes
0.5574,Tue Sep 04 18:18:06 +0000 2018,0.847,0.0,0.153,nytimes
0.0,Tue Sep 04 18:08:04 +0000 2018,1.0,0.0,0.0,nytimes
-0.2732,Tue Sep 04 17:59:37 +0000 2018,0.9,0.1,0.0,nytimes
0.8807,Tue Sep 04 17:58:04 +0000 2018,0.662,0.0,0.338,nytimes
0.34,Tue Sep 04 17:46:26 +0000 2018,0.888,0.0,0.112,nytimes
0.0,Tue Sep 04 17:38:11 +0000 2018,1.0,0.0,0.0,nytimes
0.3612,Tue Sep 04 17:38:03 +0000 2018,0.889,0.0,0.111,nytimes
-0.4404,Tue Sep 04 17:28:00 +0000 2018,0.838,0.162,0.0,nytimes
0.1531,Tue Sep 04 17:18:27 +0000 2018,0.753,0.108,0.14,nytimes
-0.4019,Tue Sep 04 17:08:06 +0000 2018,0.876,0.124,0.0,nytimes
-0.2846,Tue Sep 04 16:59:15 +0000 2018,0.88,0.12,0.0,nytimes
0.0,Tue Sep 04 16:58:48 +0000 2018,1.0,0.0,0.0,nytimes
0.0,Tue Sep 04 19:31:06 +0000 2018,1.0,0.0,0.0,BBC
0.9054,Tue Sep 04 19:03:06 +0000 2018,0.615,0.0,0.385,BBC
